handle,title,variant_title,sku,product_type,price
gymshark-collegiate-crop-tank-ink-teal-ss23,Gymshark Collegiate Crop Tank - Ink Teal,Extra Small,B5A4R-TBGF-XS,Womens Tank,1000.0
gymshark-collegiate-crop-tank-ink-teal-ss23,Gymshark Collegiate Crop Tank - Ink Teal,Small,B5A4R-TBGF-S,Womens Tank,1000.0
gymshark-collegiate-crop-tank-ink-teal-ss23,Gymshark Collegiate Crop Tank - Ink Teal,Medium,B5A4R-TBGF-M,Womens Tank,1000.0
gymshark-collegiate-crop-tank-ink-teal-ss23,Gymshark Collegiate Crop Tank - Ink Teal,Large,B5A4R-TBGF-L,Womens Tank,1000.0
gymshark-collegiate-crop-tank-ink-teal-ss23,Gymshark Collegiate Crop Tank - Ink Teal,Extra Large,B5A4R-TBGF-XL,Womens Tank,1000.0
gymshark-collegiate-crop-tank-ink-teal-ss23,Gymshark Collegiate Crop Tank - Ink Teal,Extra Extra Large,B5A4R-TBGF-XXL,Womens Tank,1000.0
gymshark-collegiate-crop-tank-dusty-maroon-ss23,Gymshark Collegiate Crop Tank - Dusty Maroon,Extra Small,B5A4R-NBR0-XS,Womens Tank,1000.0
gymshark-collegiate-crop-tank-dusty-maroon-ss23,Gymshark Collegiate Crop Tank - Dusty Maroon,Small,B5A4R-NBR0-S,Womens Tank,1000.0
gymshark-collegiate-crop-tank-dusty-maroon-ss23,Gymshark Collegiate Crop Tank - Dusty Maroon,Medium,B5A4R-NBR0-M,Womens Tank,1000.0
gymshark-collegiate-crop-tank-dusty-maroon-ss23,Gymshark Collegiate Crop Tank - Dusty Maroon,Large,B5A4R-NBR0-L,Womens Tank,1000.0
gymshark-collegiate-crop-tank-dusty-maroon-ss23,Gymshark Collegiate Crop Tank - Dusty Maroon,Extra Large,B5A4R-NBR0-XL,Womens Tank,1000.0
gymshark-collegiate-crop-tank-dusty-maroon-ss23,Gymshark Collegiate Crop Tank - Dusty Maroon,Extra Extra Large,B5A4R-NBR0-XXL,Womens Tank,1000.0
